Flag,N,Rep,Tempo,RSS,Text,Cycles,Instructions,CacheReferences,CacheMisses,Branches,BranchMisses,L1Loads,L1LoadMisses,L2Access,L2Misses,L3Access,L3Misses
-O2,512,23,0.291610,18756,2633,1326758681,662664422,172906741,68301233,85993469,631415,148734528,71596502,71575256,34137978,NA,NA
-O2,512,24,0.285346,19148,2633,1298446006,686243531,176093764,68901036,87723321,413247,141127852,70836699,70668008,32434757,NA,NA
-O2,512,25,0.281906,18812,2633,1279448503,651142831,175515259,67369390,87159185,731539,152253105,70940612,71630637,30115674,NA,NA
-O2,512,26,0.284718,18932,2633,1288961391,686594961,173259561,67274562,86621419,451527,141273414,71475947,71946822,30661442,NA,NA
-O2,512,27,0.289601,18904,2633,1298564178,635588599,173681915,67856279,86418195,762847,158676171,71621763,71712447,30820977,NA,NA
-O2,512,28,0.292957,18512,2633,1325748982,672424066,172978822,68232492,86149936,628170,147075372,71443046,71710035,33743998,NA,NA
-O2,512,29,0.280220,18948,2633,1242275560,670785112,175530523,67495294,86847088,684347,146635755,70809596,71297813,29337458,NA,NA
-O2,512,30,0.288401,18832,2633,1298925282,664996865,176681623,68246448,86880838,772280,149799650,70955534,71339095,30735032,NA,NA
-O3,512,1,0.287937,18960,2633,1302896832,671490500,174810360,67736395,86722668,587767,146505260,71508022,71698366,30949677,NA,NA
-O3,512,2,0.285487,18824,2633,1298187051,685897038,175524424,67332842,86715059,400808,141160679,70920708,71592186,30518375,NA,NA
-O3,512,3,0.275107,18924,2633,1250885040,666880898,171269135,66834157,87079069,592346,146395330,72403214,72535977,31211195,NA,NA
-O3,512,4,0.282391,18884,2633,1277918473,684336813,173210794,66809278,86658592,495210,141948648,71895634,72310780,30999014,NA,NA
-O3,512,5,0.284905,18732,2633,1274109387,688005410,173923212,67200585,86116249,523013,141077500,71400781,72128710,30929254,NA,NA
-O3,512,6,0.283576,18748,2633,1266421134,681793437,175826468,67635752,87016465,597982,143898894,71149635,71649757,29416632,NA,NA
