group1,group2,meandiff,p-adj,lower,upper,reject,Metrica,N
-O0,-O3,-68188682.7667,0.0,-68980388.8869,-67396976.6464,True,L1LoadMisses,512
-O0,-Ofast,-68038010.3333,0.0,-68829716.4536,-67246304.2131,True,L1LoadMisses,512
-O1,-O2,-70735448.4333,0.0,-71527154.5536,-69943742.3131,True,L1LoadMisses,512
-O1,-O3,-70690105.4,0.0,-71481811.5203,-69898399.2797,True,L1LoadMisses,512
-O1,-Ofast,-70539432.9667,0.0,-71331139.0869,-69747726.8464,True,L1LoadMisses,512
-O2,-O3,45343.0333,0.9999,-746363.0869,837049.1536,False,L1LoadMisses,512
-O2,-Ofast,196015.4667,0.9597,-595690.6536,987721.5869,False,L1LoadMisses,512
-O3,-Ofast,150672.4333,0.9846,-641033.6869,942378.5536,False,L1LoadMisses,512
-O0,-O1,31127090.0,0.0,28716183.6071,33537996.3929,True,L1LoadMisses,1024
-O0,-O2,-540146825.1,0.0,-542557731.4929,-537735918.7071,True,L1LoadMisses,1024
-O0,-O3,-540768661.0667,0.0,-543179567.4595,-538357754.6738,True,L1LoadMisses,1024
-O0,-Ofast,-540544937.4,0.0,-542955843.7929,-538134031.0071,True,L1LoadMisses,1024
-O1,-O2,-571273915.1,0.0,-573684821.4929,-568863008.7071,True,L1LoadMisses,1024
-O1,-O3,-571895751.0667,0.0,-574306657.4595,-569484844.6738,True,L1LoadMisses,1024
-O1,-Ofast,-571672027.4,0.0,-574082933.7929,-569261121.0071,True,L1LoadMisses,1024
-O2,-O3,-621835.9667,0.9534,-3032742.3595,1789070.4262,False,L1LoadMisses,1024
-O2,-Ofast,-398112.3,0.991,-2809018.6929,2012794.0929,False,L1LoadMisses,1024
-O3,-Ofast,223723.6667,0.999,-2187182.7262,2634630.0595,False,L1LoadMisses,1024
-O0,-O1,17857509238.0,0.0,17629778934.9755,18085239541.0245,True,L1LoadMisses,2048
-O0,-O2,-786064201.9,0.0,-1013794504.9245,-558333898.8755,True,L1LoadMisses,2048
-O0,-O3,-747284006.5,0.0,-975014309.5245,-519553703.4755,True,L1LoadMisses,2048
-O0,-Ofast,-748930090.5,0.0,-976660393.5245,-521199787.4755,True,L1LoadMisses,2048
-O1,-O2,-18643573439.9,0.0,-18871303742.9245,-18415843136.8755,True,L1LoadMisses,2048
-O1,-O3,-18604793244.5,0.0,-18832523547.5245,-18377062941.4755,True,L1LoadMisses,2048
-O1,-Ofast,-18606439328.5,0.0,-18834169631.5245,-18378709025.4755,True,L1LoadMisses,2048
-O2,-O3,38780195.4,0.9885,-188950107.6245,266510498.4245,False,L1LoadMisses,2048
-O2,-Ofast,37134111.4,0.9902,-190596191.6245,264864414.4245,False,L1LoadMisses,2048
-O3,-Ofast,-1646084.0,1.0,-229376387.0245,226084219.0245,False,L1LoadMisses,2048
-O0,-O1,1515198.4667,0.0,1183340.0865,1847056.8468,True,L2Misses,256
-O0,-O2,874896.7667,0.3374,-431630.9824,2181424.5158,False,L2Misses,256
-O0,-O3,-216471.7333,0.9663,-1155108.9773,722165.5106,False,L2Misses,256
-O0,-Ofast,-5920.7333,1.0,-944557.9773,932716.5106,False,L2Misses,256
